id;left;right;info_left;info_right
1;být;sein;jsem;
2;brát;nehmen;beru;
3;čekat;warten ;čekám;
4;číst;lesen;čtu;
5;dívat se;anschauen, beobachten;dívám se;
6;jet;fahren;jedu;
7;jít;gehen;jdu;
8;kupovat;kaufen;kupuju;
9;myslet;denken;myslím;
10;mýt;waschen;myju;
11;nést;tragen, bringen;nesu;
12;opakovat;wiederholen;opakuju;
13;plavat;schwimmen;plavu;
14;potřebovat;brauchen;potřebuju;
15;pracovat;arbeiten;pracuju;
16;psát;schreiben;píšu;
17;rozumět;verstehen;rozumím;
18;spát;schlafen;spím;
19;těšit se;sich freuen;těším;
20;učit;lehren;učím;
21;učit se;lernen;učím;
22;umět;können (fähig);umím;
23;vařit;kochen;vařím;
24;vědět;wissen;vím;
25;vidět;sehen;vidím;
26;zajímat se;interessiert sein;zajímám;
27;znát;kennen;znám;
28;žít;leben;žiju;
29;mít;haben;mám;
30;líbit se;mögen, gern machen;líbim se;
31;pít;trinken;píju;
32;stát;stehen;stojím;
33;sedět;sitzen;sedim;
34;poslouchat;zuhören;-ju;
35;dokouovat;vervollständigen;-ám;
36;jíst;essen;jím, oni jedí;
37;bíly;weiß;;
38;černý;schwarz;;
39;cizí;ausländisch;;
40;český;tschechisch;;
41;drahý;teuer;;
42;levný;billig;;
43;malý;klein;;
44;mládý;jung;;
45;moderní;modern;;
46;ošklivý;hässlich;;
47;starý;alt;;
48;hezký;schön;;
49;hodný;nett;;
50;chytrý;klug;;
51;milý;angenehm;;
52;smutný;traurig;;
53;volný;frei;;
54;zajímavý;interessant;;
55;špatný;schlecht;;
56;auto;Auto;n;
57;banka;Bank;f;
58;cizinec;Ausländer;m;
59;cizinka;Auisländerin;f;
60;divadlo;Theater;n;
61;dům;Haus;m;
62;holka;Mädchen;f;
63;kluk;Bub;m;
64;kamarád;Kumpel;m;
65;kamarádka;Freundin (Kumpel);f;
66;kavárna;Kaffehaus;f;
67;kino;Kino;n;
68;kniha;Buch;f;
69;koberec;Teppich;m;
70;moře;Meer;n;
71;muž;Mann;m;
72;nádraží;Bahnhof Station;n;
73;náměstí;Platz (Stadt);n;
74;park;Park;m;
75;pero;Stift;n;
76;pivo;Bier;n;
77;pokoj;Zimmer;m;
78;pošta;Postamt;f;
79;rádio;Radio;n;
80;sešit;Heft;m;
81;skřiň;Schrank;f;
82;slovník;Wörterbuch;m;
83;slunce;Sonne;n;
84;student;Student;m;
85;studentka;Studentin;f;
86;škola;Schule;f;
87;televize;Fernseher;f;
88;třída;Klassenzimmer;f;
89;učebnice;Lehrbuch/Textbuch;f;
90;učitel;Lehrer;m;
91;učitelka;Lehrerin;f;
92;ulice;Strasse;f;
93;žena;Frau;f;
94;židle;Sessel;f;
95;dárek;Geschenk;m;
96;knihkupectví;Buchhandlung;n;
97;lektor;Lektor;m;
98;nemocnice;Spital;f;
99;řeka;Fluss;n;
100;seznámení;Bekanntschaft;n;
101;univerzita;Universität;f;
102;činel;Becken (drums);;
103;rodina;Familie;f;
104;dopis;Brief;;
105;hudba;Musik;f;
106;rocková hudba;Rockmusik;f;
107;měsic;Monat;;
108;kytara;Gitarre;f;
109;Belgie;Belgien;f;
110;Česká republika;CZ;f;
111;Francie;Frankreich;f;
112;Itálie;Italien;f;
113;Kanada;Kanada;f;
114;Mad’arsko;Ungarn;n;
115;Německo;Deutschland;n;
116;Polsko;Polen;n;
117;Rakousko;Österreich;n;
118;Rusko;Russland;n;
119;Řeko;Griechenland;n;
120;Slovensko;Slovakei;n;
121;Špenělsko;Spanien;n;
122;Švèdsko;Schweden;n;
123;Švýcarsko;Schweiz;n;
124;Spojené státy americké;USA;;
125;Velká Británie;GB;f;
126;Belgičan;Belgier;m;
127;Belgičanka;Belgierin;f;
128;Čzech;Tscheche;m;
129;Češka;Tschechin;f;
130;Francouz;Franzose;m;
131;Francouzka;Französin;f;
132;Ital;Iatliener;m;
133;Italka;Italienerin;f;
134;Kanad’an;Kanadier;m;
135;Kanad’anka;Kanadierin;f;
136;Mad’ar;Ungar;m;
137;Mad’arka;Ungarin;f;
138;Němec;Deutscher;m;
139;Němka;Deutsche;f;
140;Polák;Pole;m;
141;Polka;Polin;f;
142;Rakušan;Österreicher;m;
143;Rakušanka;Österreicherin;f;
144;Rus;Russe;m;
145;Ruska;Russin;f;
146;Řek;Grieche;m;
147;Řekyně;Griechin;f;
148;Slovák;Slovake;m;
149;Slovenka;Slovakin;f;
150;Španěl;Spanier;m;
151;Španělka;Spanierin;f;
152;Švéd;Schwede;m;
153;Švédka;Schwedin;f;
154;Švýcar;Schweizer;m;
155;Švýcarka;Schweizerin;f;
156;Američan;Amerikaner;m;
157;Američanka;Amerikanerin;f;
158;Angličan;Engländer;m;
159;Angličanka;Engländerin;f;
160;stůl;Tisch;m;
